name,image,description
Water,https://picsum.photos/200/200?random=1,Clear liquid essential for life
Ethanol,https://picsum.photos/200/200?random=2,Alcohol used in labs and beverages
Sodium Chloride,https://picsum.photos/200/200?random=3,Common salt used in cooking
Glucose,https://picsum.photos/200/200?random=4,Simple sugar providing energy
Acetic Acid,https://picsum.photos/200/200?random=5,Organic acid found in vinegar
Benzene,https://picsum.photos/200/200?random=6,Simple aromatic hydrocarbon
Ammonia,https://picsum.photos/200/200?random=7,Colorless gas with pungent smell
Methane,https://picsum.photos/200/200?random=8,Primary component of natural gas
Sulfuric Acid,https://picsum.photos/200/200?random=9,Strong mineral acid used in industry
Sodium Hydroxide,https://picsum.photos/200/200?random=10,Strong base used in soap making
Calcium Carbonate,https://picsum.photos/200/200?random=11,Used in construction and antacids
Magnesium Sulfate,https://picsum.photos/200/200?random=12,Epsom salt, used in baths and gardening
Potassium Nitrate,https://picsum.photos/200/200?random=13,Used in fertilizers and explosives
Hydrogen Peroxide,https://picsum.photos/200/200?random=14,Used as disinfectant and bleaching agent
Nitric Acid,https://picsum.photos/200/200?random=15,Strong acid used in making fertilizers and explosives
Carbon Dioxide,https://picsum.photos/200/200?random=16,Gas produced by respiration and combustion
Oxygen,https://picsum.photos/200/200?random=17,Essential gas for respiration
Nitrogen,https://picsum.photos/200/200?random=18,Major component of air
Sodium Bicarbonate,https://picsum.photos/200/200?random=19,Baking soda, used in cooking and cleaning
Chloroform,https://picsum.photos/200/200?random=20,Used historically as anesthetic
Phenol,https://picsum.photos/200/200?random=21,Used in antiseptics and plastics
Formaldehyde,https://picsum.photos/200/200?random=22,Used in preservation and resins
Urea,https://picsum.photos/200/200?random=23,Nitrogen fertilizer
Glycerol,https://picsum.photos/200/200?random=24,Used in cosmetics and food
Acetone,https://picsum.photos/200/200?random=25,Solvent used in labs and nail polish remover
Toluene,https://picsum.photos/200/200?random=26,Used as solvent and in chemical synthesis
Ethylene,https://picsum.photos/200/200?random=27,Plant hormone gas
Propane,https://picsum.photos/200/200?random=28,Fuel gas
Butane,https://picsum.photos/200/200?random=29,Fuel gas for lighters
Nitrous Oxide,https://picsum.photos/200/200?random=30,"Laughing gas, used in anesthesia"
Sodium Carbonate,https://picsum.photos/200/200?random=31,Used in glass and detergents
Calcium Hydroxide,https://picsum.photos/200/200?random=32,Slaked lime, used in construction
Potassium Hydroxide,https://picsum.photos/200/200?random=33,Strong base, used in soap making
Hydrochloric Acid,https://picsum.photos/200/200?random=34,Strong acid used in cleaning and labs
Sodium Hypochlorite,https://picsum.photos/200/200?random=35,Bleaching agent and disinfectant
Phosphoric Acid,https://picsum.photos/200/200?random=36,Used in soft drinks and fertilizers
Silicon Dioxide,https://picsum.photos/200/200?random=37,Main component of sand and glass
Aluminum Oxide,https://picsum.photos/200/200?random=38,Used as abrasive and in ceramics
Iron Oxide,https://picsum.photos/200/200?random=39,Used as pigment and rust
Copper Sulfate,https://picsum.photos/200/200?random=40,Used in agriculture and chemistry
Zinc Oxide,https://picsum.photos/200/200?random=41,Used in sunscreen and rubber
Magnesium Oxide,https://picsum.photos/200/200?random=42,Used in refractory materials and medicine
Lead Nitrate,https://picsum.photos/200/200?random=43,Used in laboratory reagents
Silver Nitrate,https://picsum.photos/200/200?random=44,Used in photography and medicine
Potassium Permanganate,https://picsum.photos/200/200?random=45,Used as disinfectant and oxidizer
Sodium Thiosulfate,https://picsum.photos/200/200?random=46,Used in photography and medicine
Calcium Phosphate,https://picsum.photos/200/200?random=47,Used in fertilizers and bone health
Barium Sulfate,https://picsum.photos/200/200?random=48,Used in medical imaging
Strontium Carbonate,https://picsum.photos/200/200?random=49,Used in fireworks and ceramics
Lithium Carbonate,https://picsum.photos/200/200?random=50,Used in batteries and medicine
Sodium Acetate,https://picsum.photos/200/200?random=51,Used in food preservation
Potassium Carbonate,https://picsum.photos/200/200?random=52,Used in glass and soap production
Calcium Chloride,https://picsum.photos/200/200?random=53,Used for de-icing and in food
Magnesium Chloride,https://picsum.photos/200/200?random=54,Used in industry and medicine
Ammonium Nitrate,https://picsum.photos/200/200?random=55,Fertilizer and explosive
Sodium Sulfate,https://picsum.photos/200/200?random=56,Used in detergents and paper
Potassium Sulfate,https://picsum.photos/200/200?random=57,Fertilizer
Copper Nitrate,https://picsum.photos/200/200?random=58,Used in chemical synthesis
Nickel Sulfate,https://picsum.photos/200/200?random=59,Used in electroplating
Cobalt Chloride,https://picsum.photos/200/200?random=60,Used in humidity indicators
Tin(II) Chloride,https://picsum.photos/200/200?random=61,Used in electroplating and reducing agent
Chromium Trioxide,https://picsum.photos/200/200?random=62,Used in chrome plating
Manganese Dioxide,https://picsum.photos/200/200?random=63,Used in batteries
Potassium Dichromate,https://picsum.photos/200/200?random=64,Used in labs and dyes
Sodium Nitrate,https://picsum.photos/200/200?random=65,Used in fertilizers and food preservation
Calcium Sulfate,https://picsum.photos/200/200?random=66,Used in plaster and cement
Magnesium Carbonate,https://picsum.photos/200/200?random=67,Used in antacids and sports chalk
Ammonium Sulfate,https://picsum.photos/200/200?random=68,Fertilizer
Potassium Hydroxide,https://picsum.photos/200/200?random=69,Strong base used in soap production
Sodium Metabisulfite,https://picsum.photos/200/200?random=70,Used as preservative
Acetylene,https://picsum.photos/200/200?random=71,Used as fuel and in welding
Hydrogen,https://picsum.photos/200/200?random=72,Lightest gas, used in fuel cells
Neon,https://picsum.photos/200/200?random=73,Noble gas used in lighting
Argon,https://picsum.photos/200/200?random=74,Noble gas, used in inert atmospheres
Helium,https://picsum.photos/200/200?random=75,Used in balloons and cooling
Xenon,https://picsum.photos/200/200?random=76,Used in lighting and anesthesia
Krypton,https://picsum.photos/200/200?random=77,Noble gas used in lights
Radon,https://picsum.photos/200/200?random=78,Radioactive noble gas
Ozone,https://picsum.photos/200/200?random=79,Reactive oxygen molecule
Fluorine,https://picsum.photos/200/200?random=80,Highly reactive halogen gas
Chlorine,https://picsum.photos/200/200?random=81,Used in disinfectants
Bromine,https://picsum.photos/200/200?random=82,Used in flame retardants
Iodine,https://picsum.photos/200/200?random=83,Used in medicine and photography
Astatine,https://picsum.photos/200/200?random=84,Radioactive halogen
Phosphine,https://picsum.photos/200/200?random=85,Toxic gas used in fumigation
Silane,https://picsum.photos/200/200?random=86,Used in semiconductor industry
Germane,https://picsum.photos/200/200?random=87,Used in semiconductors
Arsine,https://picsum.photos/200/200?random=88,Toxic gas of arsenic
Stibine,https://picsum.photos/200/200?random=89,Toxic gas of antimony
Bismuthine,https://picsum.photos/200/200?random=90,Toxic gas of bismuth
Phosphoric Oxide,https://picsum.photos/200/200?random=91,Used in phosphorus compounds
Titanium Dioxide,https://picsum.photos/200/200?random=92,White pigment
Vanadium Pentoxide,https://picsum.photos/200/200?random=93,Used in catalysts
Molybdenum Trioxide,https://picsum.photos/200/200?random=94,Used in metallurgy
Tungsten Oxide,https://picsum.photos/200/200?random=95,Used in electronics
Rhenium Oxide,https://picsum.photos/200/200?random=96,Used in specialty alloys
Osmium Tetroxide,https://picsum.photos/200/200?random=97,Used in staining biological samples
Iridium Oxide,https://picsum.photos/200/200?random=98,Used in electronics
Platinum(IV) Oxide,https://picsum.photos/200/200?random=99,Catalyst in chemical reactions
Gold(III) Chloride,https://picsum.photos/200/200?random=100,Used in electronics and catalysis
